application_id,channel,region,application_date,sla_breach_flag,op_risk_event_flag,fraud_flag,data_entry_error_flag,kyc_issue_flag,booked_flag,ever_30dpd_6m,app_year_month
1,DSA,Metro,2023-07-28,0,0,0,0,0,1,0,2023-07
2,Mobile,East,2023-02-11,0,0,0,0,0,1,0,2023-02
3,Branch,North,2023-04-06,1,0,0,0,0,1,0,2023-04
4,DSA,Metro,2023-09-04,0,0,0,0,0,1,0,2023-09
5,DSA,Metro,2023-10-23,0,0,0,0,0,1,0,2023-10
6,Mobile,Metro,2023-09-27,0,0,0,0,1,1,0,2023-09
7,Branch,West,2023-06-09,0,0,0,0,0,1,0,2023-06
8,Branch,West,2023-05-31,1,0,1,1,0,1,0,2023-05
9,DSA,Metro,2023-03-01,0,1,0,0,0,1,0,2023-03
10,Online,Metro,2023-01-12,1,0,0,0,0,1,0,2023-01
11,DSA,North,2023-03-27,1,0,0,0,0,1,0,2023-03
12,DSA,North,2023-04-27,1,0,0,0,0,1,0,2023-04
13,DSA,East,2023-02-27,0,1,0,0,0,1,0,2023-02
14,DSA,East,2023-10-05,0,0,0,0,0,1,0,2023-10
15,Mobile,West,2023-07-11,0,0,0,1,0,1,0,2023-07
16,Branch,South,2023-11-26,0,0,0,0,0,1,0,2023-11
17,Mobile,North,2023-12-22,0,0,0,0,0,1,0,2023-12
18,Mobile,East,2023-12-09,0,0,0,0,0,1,0,2023-12
19,Mobile,North,2023-10-07,0,0,0,0,0,1,0,2023-10
20,DSA,North,2023-01-20,0,0,0,0,0,1,0,2023-01
21,Online,South,2023-05-11,1,0,0,0,0,1,0,2023-05
22,Branch,North,2023-07-18,0,1,0,0,0,1,0,2023-07
23,Online,South,2023-01-23,0,0,0,0,0,1,0,2023-01
24,Mobile,South,2023-12-21,0,0,0,0,0,1,0,2023-12
25,Mobile,North,2023-02-02,0,0,0,0,0,0,0,2023-02
26,Online,North,2023-02-15,1,0,0,0,0,1,0,2023-02
27,Online,East,2023-02-04,1,0,0,0,0,1,0,2023-02
28,Online,North,2023-01-22,0,0,0,0,0,1,0,2023-01
29,Mobile,North,2023-02-03,0,0,0,0,0,1,0,2023-02
30,Mobile,North,2023-02-05,0,1,0,0,0,1,0,2023-02
31,Branch,East,2023-04-11,1,0,0,0,1,1,0,2023-04
32,Branch,South,2023-06-03,0,0,0,0,0,1,0,2023-06
33,Mobile,East,2023-02-10,0,0,0,1,0,1,0,2023-02
34,Online,North,2023-01-10,0,0,0,1,0,1,0,2023-01
35,Online,Metro,2023-12-23,0,0,0,0,0,0,0,2023-12
36,Branch,North,2023-04-24,1,0,0,0,0,1,0,2023-04
37,Mobile,East,2023-02-11,1,0,0,0,0,1,1,2023-02
38,Branch,East,2023-05-19,0,0,0,0,0,1,0,2023-05
39,Branch,West,2023-03-13,0,1,0,0,0,1,0,2023-03
40,DSA,Metro,2023-03-12,1,0,0,0,0,1,0,2023-03
41,DSA,East,2023-04-20,0,0,0,0,0,1,0,2023-04
42,DSA,South,2023-04-17,0,0,0,0,0,1,0,2023-04
43,Online,North,2023-09-10,0,0,0,0,0,1,0,2023-09
44,Mobile,South,2023-03-13,1,0,0,0,0,1,0,2023-03
45,Mobile,East,2023-08-13,0,0,0,0,0,1,0,2023-08
46,Mobile,East,2023-05-14,0,0,0,0,0,1,0,2023-05
47,Mobile,South,2023-02-15,0,0,0,0,0,0,0,2023-02
48,DSA,South,2023-03-21,0,0,0,0,0,1,0,2023-03
49,Online,West,2023-04-22,1,0,0,0,0,0,0,2023-04
50,Online,North,2023-09-27,0,0,0,0,0,1,0,2023-09
51,DSA,South,2023-02-03,0,1,0,0,0,1,0,2023-02
52,Online,North,2023-02-27,1,0,0,0,0,1,0,2023-02
53,DSA,Metro,2023-11-02,0,0,0,0,0,0,0,2023-11
54,Mobile,East,2023-08-05,0,0,0,0,0,1,0,2023-08
55,DSA,South,2023-12-08,0,0,0,0,0,1,0,2023-12
56,Mobile,Metro,2023-07-14,0,0,1,1,0,1,0,2023-07
57,Mobile,East,2023-04-15,0,1,0,0,0,1,0,2023-04
58,Branch,West,2023-09-26,0,0,0,0,0,0,0,2023-09
59,DSA,East,2023-05-06,1,0,0,0,0,1,0,2023-05
60,Branch,South,2023-08-22,0,0,0,0,0,1,0,2023-08
61,DSA,Metro,2023-03-26,1,0,0,0,0,0,0,2023-03
62,DSA,Metro,2023-12-15,0,0,0,0,0,1,0,2023-12
63,Branch,Metro,2023-07-20,0,0,0,0,0,1,0,2023-07
64,Branch,East,2023-04-14,0,1,0,0,0,1,0,2023-04
65,DSA,North,2023-12-08,0,0,0,0,0,1,0,2023-12
66,Online,North,2023-08-11,0,0,0,0,0,1,0,2023-08
67,Mobile,East,2023-02-14,0,0,0,0,0,1,0,2023-02
68,Branch,South,2023-06-08,0,0,0,0,0,0,0,2023-06
69,Mobile,East,2023-06-18,0,1,0,0,0,1,0,2023-06
70,Online,North,2023-02-15,0,0,0,0,0,1,0,2023-02
71,Online,East,2023-09-15,0,0,0,0,0,1,0,2023-09
72,Online,Metro,2023-05-04,0,0,0,0,0,1,0,2023-05
73,Branch,South,2023-05-20,0,0,0,0,0,1,0,2023-05
74,Online,South,2023-11-16,1,0,1,0,0,1,0,2023-11
75,Branch,West,2023-02-12,0,0,0,1,0,1,1,2023-02
76,Online,East,2023-02-20,1,0,0,0,0,1,0,2023-02
77,Mobile,Metro,2023-12-05,0,0,0,0,0,1,0,2023-12
78,Mobile,East,2023-10-03,1,0,0,0,0,1,0,2023-10
79,DSA,West,2023-08-17,0,0,0,0,0,1,0,2023-08
80,Mobile,West,2023-08-13,0,0,0,0,0,1,0,2023-08
81,DSA,East,2023-11-10,0,0,0,0,0,1,0,2023-11
82,Mobile,East,2023-11-11,0,0,0,0,0,1,0,2023-11
83,Branch,East,2023-07-22,0,0,0,0,0,1,0,2023-07
84,Mobile,North,2023-06-22,0,0,0,0,0,1,0,2023-06
85,DSA,West,2023-10-30,0,1,0,0,0,1,0,2023-10
86,DSA,South,2023-03-23,0,0,0,0,0,0,0,2023-03
87,Online,North,2023-01-31,0,0,0,0,0,1,0,2023-01
88,Branch,Metro,2023-12-20,0,0,0,0,0,1,0,2023-12
89,Mobile,South,2023-02-10,1,0,0,0,0,1,0,2023-02
90,Online,South,2023-07-28,0,0,0,0,0,1,0,2023-07
91,Mobile,South,2023-10-01,0,0,0,0,0,1,1,2023-10
92,Mobile,West,2023-04-06,0,0,0,0,0,0,0,2023-04
93,Online,Metro,2023-01-10,0,0,0,0,0,1,0,2023-01
94,Online,North,2023-09-22,0,1,0,0,0,1,0,2023-09
95,Online,Metro,2023-06-04,0,0,0,0,0,0,0,2023-06
96,Online,North,2023-10-09,0,1,0,0,0,0,0,2023-10
97,Online,West,2023-09-06,1,0,0,0,0,1,0,2023-09
98,Mobile,Metro,2023-03-26,0,0,0,0,0,1,0,2023-03
99,Online,South,2023-01-29,0,0,0,0,0,1,0,2023-01
100,Branch,Metro,2023-01-20,0,0,0,0,0,1,0,2023-01
101,DSA,West,2023-11-25,0,0,0,0,0,1,0,2023-11
102,Online,West,2023-05-23,1,0,0,0,0,1,0,2023-05
103,Online,West,2023-06-29,0,0,0,0,0,1,0,2023-06
104,Mobile,North,2023-08-03,0,0,0,0,0,1,0,2023-08
105,Online,Metro,2023-04-16,1,0,0,0,0,1,0,2023-04
106,Online,South,2023-12-28,0,0,0,0,0,1,0,2023-12
107,Online,South,2023-12-02,0,0,0,0,0,1,0,2023-12
108,Mobile,East,2023-05-09,0,0,0,0,0,1,0,2023-05
109,Online,West,2023-11-11,0,0,0,0,0,0,0,2023-11
110,DSA,South,2023-01-04,0,1,0,0,0,1,0,2023-01
111,Mobile,West,2023-11-14,0,0,0,0,0,1,0,2023-11
112,DSA,South,2023-08-08,1,0,0,1,0,1,0,2023-08
113,Mobile,Metro,2023-07-04,0,0,0,0,0,1,0,2023-07
114,Online,East,2023-07-07,1,0,0,0,0,1,0,2023-07
115,DSA,West,2023-10-18,0,0,0,0,0,0,0,2023-10
116,Mobile,North,2023-06-12,0,0,1,0,0,1,0,2023-06
117,Branch,North,2023-12-30,0,0,0,0,0,1,0,2023-12
118,Online,South,2023-04-11,0,0,0,0,0,1,0,2023-04
119,Mobile,Metro,2023-06-04,0,0,0,0,0,1,0,2023-06
120,Branch,West,2023-06-24,0,0,0,0,0,1,0,2023-06
121,Mobile,East,2023-12-26,0,0,0,0,0,1,0,2023-12
122,Branch,Metro,2023-09-26,1,0,0,0,0,1,0,2023-09
123,Online,South,2023-11-06,0,0,0,0,0,1,0,2023-11
124,DSA,Metro,2023-09-19,0,0,0,0,0,1,0,2023-09
125,Branch,East,2023-03-28,0,0,0,0,0,1,0,2023-03
126,Mobile,Metro,2023-06-10,0,0,1,0,0,0,0,2023-06
127,Online,West,2023-05-17,1,0,0,0,0,0,0,2023-05
128,Branch,South,2023-11-21,0,0,0,0,0,0,1,2023-11
129,Mobile,East,2023-07-05,0,0,0,0,0,1,0,2023-07
130,Mobile,South,2023-02-07,0,0,0,0,0,1,0,2023-02
131,Mobile,West,2023-08-28,0,0,0,0,0,1,1,2023-08
132,Branch,East,2023-10-27,0,0,0,0,0,1,0,2023-10
133,Branch,East,2023-11-20,0,0,0,0,0,1,0,2023-11
134,Branch,South,2023-02-01,0,0,0,0,0,1,0,2023-02
135,DSA,Metro,2023-08-14,0,0,0,0,0,1,0,2023-08
136,Branch,Metro,2023-04-16,1,0,0,0,0,0,0,2023-04
137,Branch,North,2023-02-28,1,0,0,0,0,1,0,2023-02
138,Branch,North,2023-04-10,1,0,0,0,0,1,0,2023-04
139,DSA,East,2023-06-23,0,0,0,0,0,1,0,2023-06
140,Branch,South,2023-05-21,0,0,0,0,0,1,0,2023-05
141,Mobile,East,2023-11-01,1,0,0,0,0,1,0,2023-11
142,Branch,South,2023-12-13,1,0,0,0,0,0,0,2023-12
143,Mobile,West,2023-09-04,1,0,0,0,0,1,0,2023-09
144,Mobile,North,2023-03-10,0,0,0,0,0,1,0,2023-03
145,Mobile,East,2023-03-05,0,0,0,0,0,1,0,2023-03
146,DSA,West,2023-06-03,0,0,0,0,0,1,0,2023-06
147,DSA,Metro,2023-02-18,1,0,0,0,0,1,0,2023-02
148,DSA,North,2023-07-30,0,0,0,0,0,1,0,2023-07
149,Branch,South,2023-08-24,0,0,0,0,0,1,0,2023-08
150,Mobile,Metro,2023-08-08,0,0,0,0,1,0,0,2023-08
151,DSA,Metro,2023-07-13,0,0,0,0,0,1,0,2023-07
152,DSA,West,2023-09-16,0,0,0,0,0,1,0,2023-09
153,Branch,East,2023-05-29,0,1,0,0,0,1,0,2023-05
154,DSA,East,2023-12-31,0,0,0,0,0,1,0,2023-12
155,Branch,West,2023-06-16,0,1,0,0,0,1,0,2023-06
156,Online,Metro,2023-11-30,0,0,0,0,0,1,0,2023-11
157,DSA,North,2023-02-07,1,0,0,0,0,1,0,2023-02
158,Online,Metro,2023-01-28,0,0,0,0,0,1,0,2023-01
159,Branch,West,2023-10-28,0,0,0,0,0,1,0,2023-10
160,Mobile,Metro,2023-04-12,0,0,0,0,0,1,0,2023-04
161,DSA,Metro,2023-03-03,0,1,0,0,0,1,0,2023-03
162,Branch,Metro,2023-09-30,0,0,0,0,0,1,0,2023-09
163,Mobile,Metro,2023-06-17,0,0,0,0,0,0,0,2023-06
164,Mobile,North,2023-08-19,0,0,0,0,0,1,1,2023-08
165,Online,South,2023-04-20,0,0,0,0,0,1,0,2023-04
166,Branch,South,2023-02-04,1,0,0,0,0,1,0,2023-02
167,Mobile,East,2023-07-29,0,0,0,0,0,0,0,2023-07
168,DSA,South,2023-07-04,0,1,0,0,0,1,0,2023-07
169,DSA,South,2023-08-01,0,0,0,0,0,1,0,2023-08
170,Online,South,2023-10-08,0,0,0,0,0,1,0,2023-10
171,Mobile,Metro,2023-09-28,1,1,0,0,0,1,0,2023-09
172,Branch,Metro,2023-09-06,0,1,0,0,0,1,1,2023-09
173,DSA,North,2023-05-27,1,0,0,0,0,0,0,2023-05
174,Mobile,Metro,2023-06-28,0,1,0,0,0,0,0,2023-06
175,Mobile,Metro,2023-05-21,0,1,0,0,0,1,0,2023-05
176,Online,South,2023-04-06,0,0,0,0,0,1,0,2023-04
177,DSA,North,2023-12-17,0,0,0,0,0,1,0,2023-12
178,DSA,North,2023-07-25,1,0,0,0,0,1,0,2023-07
179,Branch,South,2023-01-25,0,0,0,0,0,1,0,2023-01
180,DSA,South,2023-09-13,1,0,0,0,0,1,0,2023-09
181,Branch,North,2023-07-30,0,0,0,0,0,1,0,2023-07
182,DSA,West,2023-05-31,0,0,0,0,0,1,0,2023-05
183,Online,South,2023-07-30,0,0,0,0,0,1,0,2023-07
184,DSA,South,2023-03-22,0,0,0,0,0,1,0,2023-03
185,Branch,North,2023-11-11,0,0,0,0,0,1,0,2023-11
186,Branch,West,2023-12-18,0,0,0,0,0,1,0,2023-12
187,Online,West,2023-11-03,0,0,0,0,0,1,0,2023-11
188,DSA,East,2023-04-19,0,0,0,0,0,1,0,2023-04
189,DSA,West,2023-05-18,1,0,0,0,0,1,0,2023-05
190,Online,South,2023-10-28,0,0,0,0,0,1,0,2023-10
191,DSA,Metro,2023-10-08,0,0,0,0,0,1,0,2023-10
192,DSA,North,2023-07-05,0,0,0,0,0,1,0,2023-07
193,Branch,South,2023-04-01,0,0,0,0,0,1,0,2023-04
194,DSA,North,2023-03-05,0,1,0,0,0,1,0,2023-03
195,DSA,West,2023-06-21,1,0,0,0,0,1,1,2023-06
196,Online,North,2023-06-01,0,0,0,0,0,1,0,2023-06
197,Online,South,2023-08-30,0,0,0,0,0,1,0,2023-08
198,Mobile,Metro,2023-11-03,0,0,0,0,0,0,0,2023-11
199,Branch,South,2023-11-15,1,0,0,0,1,1,0,2023-11
200,DSA,East,2023-06-01,0,0,0,0,0,1,0,2023-06
201,DSA,North,2023-10-31,0,1,0,0,0,1,0,2023-10
202,Mobile,South,2023-01-20,1,0,0,0,0,1,0,2023-01
203,DSA,West,2023-02-01,0,0,0,0,0,1,0,2023-02
204,Branch,West,2023-06-11,0,0,0,0,0,1,1,2023-06
205,Mobile,South,2023-02-21,0,0,0,0,0,0,0,2023-02
206,Branch,East,2023-09-12,1,0,0,0,0,1,0,2023-09
207,Mobile,North,2023-02-07,0,0,0,0,0,1,0,2023-02
208,Mobile,East,2023-09-27,0,1,0,0,0,1,0,2023-09
209,Online,Metro,2023-06-01,1,0,0,0,0,1,0,2023-06
210,Branch,South,2023-07-19,0,0,0,0,0,1,0,2023-07
211,DSA,East,2023-09-21,1,0,0,0,0,0,0,2023-09
212,DSA,Metro,2023-05-14,1,0,0,0,0,0,0,2023-05
213,Branch,East,2023-08-22,0,1,0,0,0,1,0,2023-08
214,DSA,Metro,2023-06-20,0,0,0,0,0,1,0,2023-06
215,DSA,West,2023-11-07,0,0,0,0,0,1,0,2023-11
216,Branch,West,2023-10-07,0,0,0,0,0,1,0,2023-10
217,Mobile,South,2023-12-14,0,0,0,0,0,1,0,2023-12
218,Branch,East,2023-03-08,1,0,0,0,0,1,0,2023-03
219,Mobile,West,2023-01-06,0,0,0,1,0,1,0,2023-01
220,DSA,North,2023-03-07,1,1,0,0,0,1,0,2023-03
221,DSA,West,2023-05-24,0,0,0,0,0,1,0,2023-05
222,DSA,West,2023-03-03,0,1,0,0,0,1,0,2023-03
223,Online,East,2023-08-21,0,0,0,1,0,1,0,2023-08
224,Mobile,Metro,2023-08-01,0,0,0,1,0,1,0,2023-08
225,Online,North,2023-05-26,0,0,0,0,0,1,1,2023-05
226,Online,North,2023-09-08,1,0,0,0,0,0,0,2023-09
227,Branch,Metro,2023-04-23,1,0,0,0,0,1,0,2023-04
228,Online,East,2023-03-21,0,0,0,0,0,1,0,2023-03
229,Branch,West,2023-05-26,0,0,0,0,0,1,0,2023-05
230,Branch,Metro,2023-09-27,0,0,0,0,0,0,0,2023-09
231,Online,North,2023-06-03,0,0,0,0,0,1,1,2023-06
232,Mobile,North,2023-03-11,1,0,0,0,0,1,0,2023-03
233,Mobile,West,2023-09-24,0,0,0,0,0,1,0,2023-09
234,Mobile,West,2023-01-02,1,0,0,0,0,1,0,2023-01
235,Mobile,South,2023-10-08,1,0,0,0,0,1,0,2023-10
236,Mobile,Metro,2023-09-07,0,1,0,0,0,1,0,2023-09
237,Online,West,2023-09-07,0,0,0,0,0,1,0,2023-09
238,Online,South,2023-06-17,0,0,0,0,0,1,0,2023-06
239,DSA,East,2023-01-09,0,0,0,0,0,1,0,2023-01
240,Mobile,North,2023-12-08,1,0,0,0,0,1,0,2023-12
241,Online,Metro,2023-10-28,0,0,0,0,0,1,0,2023-10
242,DSA,East,2023-05-20,1,1,0,0,1,1,0,2023-05
243,Mobile,Metro,2023-02-11,0,0,0,0,0,1,0,2023-02
244,Branch,Metro,2023-05-04,1,0,0,0,0,1,0,2023-05
245,DSA,West,2023-06-30,1,0,0,0,0,1,0,2023-06
246,Online,South,2023-06-07,0,0,0,0,0,1,0,2023-06
247,Branch,Metro,2023-10-29,1,0,0,0,1,1,0,2023-10
248,Branch,East,2023-03-11,0,0,0,0,0,1,0,2023-03
249,Branch,Metro,2023-12-13,0,1,0,0,0,0,0,2023-12
250,DSA,South,2023-08-14,0,0,0,0,0,1,0,2023-08
251,Online,North,2023-03-01,0,0,0,0,0,0,0,2023-03
252,Branch,Metro,2023-05-01,0,0,0,0,0,0,0,2023-05
253,Mobile,East,2023-02-24,0,0,0,0,0,1,0,2023-02
254,Branch,North,2023-11-06,0,0,0,0,0,1,0,2023-11
255,Branch,North,2023-12-01,1,0,0,0,0,1,0,2023-12
256,DSA,West,2023-09-12,1,0,0,1,0,1,0,2023-09
257,DSA,West,2023-02-28,0,0,0,0,0,1,0,2023-02
258,Online,Metro,2023-02-05,0,0,0,0,0,1,0,2023-02
259,Mobile,East,2023-02-27,1,0,0,0,0,0,0,2023-02
260,DSA,West,2023-11-09,1,0,0,0,0,1,0,2023-11
261,Branch,South,2023-04-17,1,0,0,0,0,1,0,2023-04
262,Online,South,2023-04-03,0,1,0,0,0,1,0,2023-04
263,Branch,North,2023-11-04,1,0,0,0,0,1,0,2023-11
264,Branch,North,2023-11-03,1,0,0,0,1,1,0,2023-11
265,DSA,North,2023-04-03,0,0,0,0,0,1,0,2023-04
266,Online,South,2023-01-14,0,0,0,0,0,0,0,2023-01
267,Mobile,West,2023-07-21,0,0,0,0,0,1,0,2023-07
268,Mobile,West,2023-09-15,1,0,0,0,0,1,0,2023-09
269,DSA,Metro,2023-07-18,0,0,0,0,0,1,0,2023-07
270,DSA,East,2023-04-30,1,0,0,0,0,1,0,2023-04
271,Online,South,2023-10-18,0,0,0,0,0,1,0,2023-10
272,Mobile,North,2023-08-08,0,0,0,0,0,1,0,2023-08
273,Mobile,East,2023-06-17,0,0,0,0,0,1,0,2023-06
274,Mobile,North,2023-06-27,0,0,0,0,0,0,0,2023-06
275,Branch,East,2023-06-03,1,0,0,0,0,0,0,2023-06
276,Mobile,East,2023-12-18,0,1,0,0,0,1,0,2023-12
277,Branch,West,2023-05-23,0,0,0,0,0,1,0,2023-05
278,Online,Metro,2023-12-29,0,0,0,0,0,1,0,2023-12
279,Branch,Metro,2023-08-03,0,1,0,0,0,1,0,2023-08
280,Online,North,2023-05-18,0,1,0,0,0,1,0,2023-05
281,Mobile,South,2023-09-02,1,0,0,0,0,1,0,2023-09
282,Mobile,Metro,2023-10-10,0,0,0,0,0,0,1,2023-10
283,Online,South,2023-08-29,1,0,0,0,0,0,0,2023-08
