application_id,ever_30dpd_6m,channel,region
1,0,DSA,Metro
2,0,Mobile,East
3,0,Branch,North
4,0,DSA,Metro
5,0,DSA,Metro
6,0,Mobile,Metro
7,0,Branch,West
8,0,Branch,West
9,0,DSA,Metro
10,0,Online,Metro
11,0,DSA,North
12,0,DSA,North
13,0,DSA,East
14,0,DSA,East
15,0,Mobile,West
16,0,Branch,South
17,0,Mobile,North
18,0,Mobile,East
19,0,Mobile,North
20,0,DSA,North
21,0,Online,South
22,0,Branch,North
23,0,Online,South
24,0,Mobile,South
26,0,Online,North
27,0,Online,East
28,0,Online,North
29,0,Mobile,North
30,0,Mobile,North
31,0,Branch,East
32,0,Branch,South
33,0,Mobile,East
34,0,Online,North
36,0,Branch,North
37,1,Mobile,East
38,0,Branch,East
39,0,Branch,West
40,0,DSA,Metro
41,0,DSA,East
42,0,DSA,South
43,0,Online,North
44,0,Mobile,South
45,0,Mobile,East
46,0,Mobile,East
48,0,DSA,South
50,0,Online,North
51,0,DSA,South
52,0,Online,North
54,0,Mobile,East
55,0,DSA,South
56,0,Mobile,Metro
57,0,Mobile,East
59,0,DSA,East
60,0,Branch,South
62,0,DSA,Metro
63,0,Branch,Metro
64,0,Branch,East
65,0,DSA,North
66,0,Online,North
67,0,Mobile,East
69,0,Mobile,East
70,0,Online,North
71,0,Online,East
72,0,Online,Metro
73,0,Branch,South
74,0,Online,South
75,1,Branch,West
76,0,Online,East
77,0,Mobile,Metro
78,0,Mobile,East
79,0,DSA,West
80,0,Mobile,West
81,0,DSA,East
82,0,Mobile,East
83,0,Branch,East
84,0,Mobile,North
85,0,DSA,West
87,0,Online,North
88,0,Branch,Metro
89,0,Mobile,South
90,0,Online,South
91,1,Mobile,South
93,0,Online,Metro
94,0,Online,North
97,0,Online,West
98,0,Mobile,Metro
99,0,Online,South
100,0,Branch,Metro
101,0,DSA,West
102,0,Online,West
103,0,Online,West
104,0,Mobile,North
105,0,Online,Metro
106,0,Online,South
107,0,Online,South
108,0,Mobile,East
110,0,DSA,South
111,0,Mobile,West
112,0,DSA,South
113,0,Mobile,Metro
114,0,Online,East
116,0,Mobile,North
117,0,Branch,North
118,0,Online,South
119,0,Mobile,Metro
120,0,Branch,West
121,0,Mobile,East
122,0,Branch,Metro
123,0,Online,South
124,0,DSA,Metro
125,0,Branch,East
129,0,Mobile,East
130,0,Mobile,South
131,1,Mobile,West
132,0,Branch,East
133,0,Branch,East
134,0,Branch,South
135,0,DSA,Metro
137,0,Branch,North
138,0,Branch,North
139,0,DSA,East
140,0,Branch,South
141,0,Mobile,East
143,0,Mobile,West
144,0,Mobile,North
145,0,Mobile,East
146,0,DSA,West
147,0,DSA,Metro
148,0,DSA,North
149,0,Branch,South
151,0,DSA,Metro
152,0,DSA,West
153,0,Branch,East
154,0,DSA,East
155,0,Branch,West
156,0,Online,Metro
157,0,DSA,North
158,0,Online,Metro
159,0,Branch,West
160,0,Mobile,Metro
161,0,DSA,Metro
162,0,Branch,Metro
164,1,Mobile,North
165,0,Online,South
166,0,Branch,South
168,0,DSA,South
169,0,DSA,South
170,0,Online,South
171,0,Mobile,Metro
172,1,Branch,Metro
175,0,Mobile,Metro
176,0,Online,South
177,0,DSA,North
178,0,DSA,North
179,0,Branch,South
180,0,DSA,South
181,0,Branch,North
182,0,DSA,West
183,0,Online,South
184,0,DSA,South
185,0,Branch,North
186,0,Branch,West
187,0,Online,West
188,0,DSA,East
189,0,DSA,West
190,0,Online,South
191,0,DSA,Metro
192,0,DSA,North
193,0,Branch,South
194,0,DSA,North
195,1,DSA,West
196,0,Online,North
197,0,Online,South
199,0,Branch,South
200,0,DSA,East
201,0,DSA,North
202,0,Mobile,South
203,0,DSA,West
204,1,Branch,West
206,0,Branch,East
207,0,Mobile,North
208,0,Mobile,East
209,0,Online,Metro
210,0,Branch,South
213,0,Branch,East
214,0,DSA,Metro
215,0,DSA,West
216,0,Branch,West
217,0,Mobile,South
218,0,Branch,East
219,0,Mobile,West
220,0,DSA,North
221,0,DSA,West
222,0,DSA,West
223,0,Online,East
224,0,Mobile,Metro
225,1,Online,North
227,0,Branch,Metro
228,0,Online,East
229,0,Branch,West
231,1,Online,North
232,0,Mobile,North
233,0,Mobile,West
234,0,Mobile,West
235,0,Mobile,South
236,0,Mobile,Metro
237,0,Online,West
238,0,Online,South
239,0,DSA,East
240,0,Mobile,North
241,0,Online,Metro
242,0,DSA,East
243,0,Mobile,Metro
244,0,Branch,Metro
245,0,DSA,West
246,0,Online,South
247,0,Branch,Metro
248,0,Branch,East
250,0,DSA,South
253,0,Mobile,East
254,0,Branch,North
255,0,Branch,North
256,0,DSA,West
257,0,DSA,West
258,0,Online,Metro
260,0,DSA,West
261,0,Branch,South
262,0,Online,South
263,0,Branch,North
264,0,Branch,North
265,0,DSA,North
267,0,Mobile,West
268,0,Mobile,West
269,0,DSA,Metro
270,0,DSA,East
271,0,Online,South
272,0,Mobile,North
273,0,Mobile,East
276,0,Mobile,East
277,0,Branch,West
278,0,Online,Metro
279,0,Branch,Metro
280,0,Online,North
281,0,Mobile,South
284,0,DSA,North
285,0,Online,South
286,0,DSA,East
287,0,Branch,East
288,0,Branch,North
289,0,Branch,South
290,0,Mobile,South
291,0,Branch,North
294,0,Online,Metro
295,0,Online,West
296,0,Mobile,South
297,0,Online,West
299,0,Branch,South
300,0,Mobile,East
301,0,Branch,West
302,0,Branch,North
303,0,DSA,Metro
304,0,Online,South
305,0,Online,South
306,0,Branch,West
307,0,Mobile,East
308,0,Online,East
309,0,Mobile,Metro
310,0,Online,Metro
312,0,DSA,East
313,1,Mobile,East
314,0,DSA,West
315,0,DSA,North
317,0,DSA,South
318,0,Branch,East
319,0,DSA,East
320,0,Online,North
321,0,Mobile,East
322,0,Branch,Metro
324,0,Online,North
325,0,Online,West
326,0,Online,Metro
327,0,DSA,West
329,0,Mobile,North
330,0,Mobile,South
331,0,Branch,South
332,0,Branch,South
333,0,Mobile,South
334,0,DSA,North
335,0,Online,West
336,0,Mobile,East
337,0,Branch,South
338,1,DSA,East
339,0,Mobile,East
340,0,Mobile,South
341,0,DSA,Metro
342,1,Mobile,East
343,0,DSA,Metro
344,0,Online,West
345,0,DSA,East
346,0,DSA,North
348,0,Mobile,West
349,0,Mobile,Metro
350,0,DSA,South
353,0,Branch,Metro
354,0,Mobile,Metro
355,0,Mobile,West
356,0,DSA,Metro
357,0,Online,South
358,0,Mobile,West
359,0,Branch,West
364,0,Online,South
365,0,DSA,East
366,0,DSA,West
368,0,Online,East
370,0,DSA,North
371,1,Mobile,East
372,0,Mobile,Metro
373,1,Online,North
374,0,Mobile,North
375,0,Branch,West
376,0,Mobile,South
377,0,Mobile,Metro
378,0,Branch,West
379,0,Online,South
380,0,Branch,North
381,0,Mobile,South
382,0,Online,North
383,0,Mobile,West
384,0,Branch,North
385,0,Branch,South
386,0,Mobile,West
387,0,DSA,South
388,0,DSA,South
389,0,Branch,East
390,0,Branch,North
391,0,DSA,North
392,0,DSA,South
393,0,Mobile,North
394,0,Mobile,Metro
395,0,DSA,North
396,0,Mobile,West
398,1,Online,Metro
399,0,Mobile,South
400,0,Branch,North
401,0,Mobile,West
402,0,Mobile,Metro
403,0,DSA,East
405,0,Mobile,South
406,0,Mobile,South
407,0,Online,Metro
408,0,Mobile,North
409,0,Mobile,North
411,0,DSA,North
412,0,Mobile,South
413,0,Online,East
414,0,Branch,South
416,0,Branch,East
417,0,Branch,North
418,0,Online,West
419,0,Mobile,Metro
420,0,Online,West
421,0,Online,East
424,0,DSA,South
425,0,Mobile,South
426,0,Branch,North
427,0,Branch,Metro
428,0,Mobile,South
429,0,Branch,Metro
430,0,Mobile,North
431,0,Branch,Metro
432,0,Online,South
433,0,Branch,South
434,0,Mobile,West
435,0,Mobile,West
436,0,Mobile,West
437,0,Mobile,Metro
438,0,Mobile,South
439,0,DSA,North
440,0,DSA,East
441,0,Branch,South
442,0,Mobile,West
443,0,Branch,West
444,0,Mobile,Metro
445,0,Mobile,West
446,0,DSA,Metro
447,0,DSA,North
448,0,Online,West
449,1,DSA,Metro
450,0,Online,West
452,0,Online,South
453,0,Online,Metro
454,0,Online,East
455,0,Branch,North
456,0,DSA,South
457,0,Online,North
459,0,DSA,West
460,0,DSA,Metro
461,0,Online,West
462,0,Branch,North
463,0,Online,North
465,0,Mobile,North
466,1,DSA,Metro
467,0,Mobile,North
470,0,Mobile,North
472,0,Mobile,East
473,0,DSA,West
474,0,Mobile,South
475,0,DSA,South
476,0,Mobile,North
477,0,Branch,Metro
478,0,Mobile,South
481,0,Mobile,East
484,0,Online,Metro
485,0,Branch,North
486,0,Online,East
487,0,DSA,South
488,0,Mobile,North
489,0,Branch,East
490,0,Branch,East
491,0,Mobile,West
492,0,Branch,South
493,1,Branch,North
497,1,DSA,East
499,0,Branch,Metro
500,0,Mobile,Metro
501,0,DSA,South
502,0,Branch,East
504,0,Mobile,West
506,0,Branch,North
507,0,Mobile,North
508,1,DSA,South
509,0,Mobile,Metro
511,0,Branch,West
512,0,Online,North
513,0,DSA,West
514,0,Online,West
515,0,Online,West
516,0,DSA,Metro
517,0,Mobile,West
518,0,Online,Metro
519,0,Mobile,North
520,1,Online,West
521,0,Mobile,East
522,0,DSA,North
523,0,Online,East
524,0,DSA,East
525,0,Online,South
527,0,DSA,South
528,0,Online,Metro
529,1,Online,South
530,0,Online,North
531,0,Branch,East
533,0,Branch,Metro
534,0,Branch,East
535,1,DSA,East
536,0,Online,Metro
537,0,Mobile,North
538,0,DSA,East
539,0,Branch,North
540,0,Online,North
541,0,DSA,North
542,0,Online,East
543,0,DSA,West
544,0,Online,South
545,0,Branch,Metro
546,0,Mobile,North
549,0,Online,West
550,0,DSA,West
551,0,Branch,East
552,0,Mobile,North
554,0,Mobile,West
555,0,Branch,West
556,0,Mobile,East
557,0,Mobile,Metro
558,0,Online,South
559,0,Mobile,East
560,0,Online,North
561,0,Mobile,East
562,0,DSA,East
563,0,DSA,South
564,0,DSA,South
565,0,Mobile,South
566,0,Online,Metro
567,0,Online,East
569,0,DSA,South
570,0,DSA,South
572,0,DSA,North
573,0,Branch,South
574,0,Online,East
576,0,Online,Metro
577,0,Branch,East
578,0,Online,South
579,0,Online,North
580,0,Online,West
581,0,Online,North
582,0,Branch,North
583,0,Mobile,North
584,0,Online,East
585,0,Online,East
586,0,DSA,Metro
587,0,Online,West
588,0,DSA,North
591,1,Branch,West
592,1,Mobile,North
593,0,Branch,East
594,0,Mobile,East
595,0,Mobile,West
596,0,Mobile,Metro
597,0,Branch,North
598,0,DSA,West
599,0,Mobile,South
600,0,Online,South
601,0,Branch,Metro
602,0,Mobile,East
603,0,Mobile,West
604,0,Online,North
606,0,DSA,Metro
607,0,DSA,West
608,0,Mobile,Metro
609,0,Mobile,Metro
610,0,Mobile,Metro
611,0,Branch,West
612,0,Online,South
613,0,Mobile,North
614,0,Online,Metro
615,0,Online,East
616,0,DSA,Metro
617,0,Branch,West
618,0,Mobile,Metro
619,0,DSA,East
620,0,DSA,South
621,0,Mobile,West
622,0,Online,West
623,0,DSA,West
624,0,Online,East
625,0,Branch,West
626,0,Online,South
627,1,Branch,North
628,0,Online,North
629,0,DSA,Metro
630,0,DSA,North
632,0,Mobile,North
633,0,Branch,East
634,0,Branch,East
635,0,Online,Metro
636,0,Online,North
637,0,Branch,Metro
638,0,DSA,West
639,1,Online,South
640,0,Mobile,North
641,0,Online,West
643,0,Mobile,Metro
644,0,Branch,Metro
645,0,Mobile,South
646,0,Branch,South
648,1,Branch,South
649,0,Mobile,Metro
650,1,Branch,East
651,0,DSA,Metro
652,0,Mobile,East
653,0,DSA,Metro
654,0,Branch,Metro
655,0,Online,South
656,0,Branch,East
657,0,DSA,West
658,0,DSA,West
659,0,Mobile,West
661,0,Mobile,West
662,0,DSA,Metro
663,0,Branch,South
664,0,Online,West
665,0,Branch,South
666,0,Branch,Metro
667,0,Online,South
669,0,Branch,South
670,0,DSA,North
671,0,Branch,West
672,0,Online,Metro
673,0,Online,East
675,0,Mobile,South
676,0,Branch,West
678,0,Mobile,North
680,0,Online,South
681,0,Mobile,South
